Image,prompt,en_prompt
1.png,"一位戴眼镜穿绿色衬衫的男讲解员站在桌后。他左手拿着一只银色充电宝,右手拿着一根黑色数据线。他把数据线插入充电宝,然后把双手伸向镜头展示连接处。接着他收回双手,拔下数据线,伸手向右把充电宝放到画面外。最后他右手拿着断开的数据线,一边说话一边用它做手势。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A male demonstrator wearing glasses and a green shirt stands behind a desk. He holds a silver power bank in his left hand and a black cable in his right hand. He plugs the cable into the power bank, then brings his hands forward toward the camera to display the connection point. He then retracts his hands, unplugs the cable, and reaches to his right to place the power bank off-camera. Finally, he holds the disconnected cable in his right hand and gestures with it while speaking. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
2.png,"一位女士坐着,手中持着一把梨形琴身的弹拨乐器。她的左手按在乐器琴颈上部,右手在琴身下方拨弹琴弦。她保持稳定的坐姿,目光直视镜头。接近结尾时,她嘴唇微张像是在对镜头说话,手指仍在弦上做拨弹的动作。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A woman sits holding a pear-shaped stringed instrument. Her left hand rests on the upper part of the instrument's neck while her right hand strums the strings near the base. She maintains a steady posture, looking directly at the camera. Towards the end of the sequence, she opens her mouth as if speaking or singing. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
3.png,一名女性模特站在镜头前，双手举起一件带毛领的棕色皮夹克展示给镜头，边讲解边直视镜头，偶尔转头向右上方，轻微调整持衣姿势。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female model stands facing the camera, holding a brown leather jacket with a fur collar. She holds the jacket up with both hands, displaying it to the camera. She speaks while looking directly at the lens, then shifts her gaze upward and to her right. She continues to speak, occasionally moving her head and adjusting her grip on the jacket slightly. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
4.png,一名女性站在桌后，桌上摆放一个手提包，右手持棕色小零钱包，左手打开包口将零钱包放入包内，调整位置后合上包口，全程表情专注平静。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female stands behind a table with a handbag in front of her. She holds a small brown pouch in her right hand. She moves the pouch towards the handbag, opens the handbag with her left hand, and places the pouch inside. She then adjusts the pouch within the bag and closes the handbag. Throughout the sequence, her facial expression remains neutral and focused on the task. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
5.png,一名女性模特站在镜头前，右手持挂在白色衣架上的粉色连衣裙，左手指向肩部与袖子进行介绍，随后将裙子举至颈部高度展示领口与肩宽，再放回腰部位置。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female model stands facing the camera holding a pink dress on a white hanger. She uses her right hand to hold the hanger while her left hand gestures towards the dress, pointing at the shoulder and sleeve. She then lifts the dress up to her neck level to display the neckline and shoulder width, and finally lowers the dress back down to her waist level. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
6.png,一名女性站在镜头前，左手持挂有牛仔连衣裙的衣架，右手做圆形手势并指向裙子各处介绍产品特点，表情由平静逐渐转为微笑。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female stands facing the camera, holding a denim dress on a hanger with her left hand. She gestures towards the dress with her right hand, moving it in a circular motion and then pointing at the dress. Her facial expressions change from neutral to smiling as she interacts with the dress. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
7.png,"一位戴眼镜、身穿红色围裙的女士站在镜头前,双手握住一只红白配色的迷你电煮锅(Mini Cooker)两侧的红色把手。前方桌上摆放着配套的透明玻璃锅盖(带红色提手)和一根黑色电源线,锅盖始终留在桌上未被取用。她最初将锅举至胸前正面展示,接着调整握姿、在不同高度持续展示锅身,期间嘴唇微张像在介绍产品。最后她把锅身向前倾斜,向镜头露出白色锅内,过程中始终保持站立姿态。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female wearing glasses and a red apron stands facing the camera, gripping a red-and-white mini electric cooker (Mini Cooker) by its red side handles with both hands. The matching transparent glass lid (with a red knob) and a black power cord rest on the table in front of her, with the lid remaining on the table throughout. She initially holds the cooker at chest level to display its front, then adjusts her grip and presents the cooker body at different heights while her lips move as she speaks. Finally, she tilts the cooker forward to reveal its white interior to the camera, all while maintaining a standing posture. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
8.png,"一位女模特正面面向镜头,开始涂口红。她用左手把口红膏体靠近嘴唇,右手持口红管身。涂完之后她轻抿双唇以让颜色均匀,然后双手把口红管放低并合上外盖。接着她又旋开口红管,展示口红膏体的颜色,再次合上管盖并双手持握展示在胸前。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female model stands facing the camera, applying lipstick. She uses her left hand to bring the lipstick applicator to her lips and her right hand to hold the lipstick tube. After applying the product, she presses her lips together, then lowers her hands to close the lipstick. She concludes the sequence by turning her head to her left. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
9.png,"一位男模特站在摆满蔬菜的桌后。他左手拿着一个白色泡沫箱,里面装着包装好的蔬菜。最初他抬起右手张开掌心。随后他把右手抬到脸旁,触碰耳朵,然后一边用右手指向箱子一边说话。最后他把右手放下,左手继续稳稳地拿着箱子。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","The male model stands behind a table filled with vegetables. He holds a white styrofoam box in his left hand, which contains packaged vegetables. Initially, he raises his right hand with an open palm. He then brings his right hand to his face, touches his ear, and gestures towards the box with his right hand while speaking. Finally, he places his right hand down and continues to hold the box steady with his left hand. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
10.png,"一位女主播正面面向镜头,手里拿着一只红色水桶包。她最初用右手抓着包的提带,展示包的正面。接着她双手将包提起以展示结构,然后把提带甩过右肩,斜挎在身上。在展示包的同时,她用左手做手势说话。最后,她用左手调整包在胯部的位置,右手继续握着提带,对镜头微笑。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female presenter stands facing the camera, holding a red bucket bag. She initially holds the bag by its strap with her right hand, displaying the front of the bag. She then lifts the bag with both hands to show its structure, before swinging the strap over her right shoulder to wear it cross-body. As she models the bag, she gestures with her left hand while speaking. Finally, she adjusts the bag's position on her hip with her left hand and continues to hold the strap with her right hand, smiling at the camera. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
